"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C22 H31 O6 P1",421.1791315,"P1 O6","CHOP","Other",22,31,6,0,0,1,1.41,1.41,8,0.2222,-0.8636,84.9126
"C23 H35 O5 P1",421.2155028,"P1 O5","CHOP","Other",23,35,5,0,0,1,1.52,1.52,7,0.1795,-1.087,91.2795
"C17 H13 O12 N1",422.0369263,"N1 O12","CHON","Tannin",17,13,12,1,0,0,0.76,0.76,12,0.5,0.8235,36.83025
"C18 H17 O11 N1",422.0733036,"N1 O11","CHON","Lignin",18,17,11,1,0,0,0.94,0.94,11,0.3913,0.4444,47.6346
"C17 H12 O11 S1",423.0031818,"S1 O11","CHOS","Cond Hydrocarbon",17,12,11,0,1,0,0.71,0.71,12,0.5238,0.7059,40.18185
"C17 H12 O13",423.0209404,"O13","CHO","Tannin",17,12,13,0,0,0,0.71,0.71,12,0.5238,0.8235,36.83025
"C21 H12 O10",423.0362002,"O10","CHO","Cond Hydrocarbon",21,12,10,0,0,0,0.57,0.57,16,0.6875,0.381,49.4415
"C18 H16 O10 S1",423.0395801,"S1 O10","CHOS","Lignin",18,16,10,0,1,0,0.89,0.89,11,0.4167,0.3333,50.80095
"C22 H16 O7 S1",423.0549886,"S1 O7","CHOS","Cond Hydrocarbon",22,16,7,0,1,0,0.73,0.73,15,0.6,0,60.3
"C17 H16 O11 N2",423.0685743,"N2 O11","CHON","Lignin",17,16,11,2,0,0,0.94,0.94,11,0.3684,0.7059,40.18185
"C15 H21 O12 P1",423.0703948,"P1 O12","CHOP","Other",15,21,12,0,0,1,1.4,1.4,6,-0.125,0.2,54.6
"C22 H16 O9",423.0725873,"O9","CHO","Cond Hydrocarbon",22,16,9,0,0,0,0.73,0.73,15,0.6,0.0909,57.70935
"C19 H20 O9 S1",423.0760089,"S1 O9","CHOS","Lignin",19,20,9,0,1,0,1.05,1.05,10,0.3333,0,60.3
"C18 H20 O10 N2",423.104965,"N2 O10","CHON","Lignin",18,20,10,2,0,0,1.11,1.11,10,0.2727,0.3333,50.80095
"C20 H24 O8 S1",423.1124382,"S1 O8","CHOS","Lignin",20,24,8,0,1,0,1.2,1.2,9,0.2667,-0.3,68.85
"C17 H15 O12 N1",424.0525968,"N1 O12","CHON","Tannin",17,15,12,1,0,0,0.88,0.88,11,0.4,0.7059,40.18185
"C21 H15 O9 N1",424.067852,"N1 O9","CHON","Cond Hydrocarbon",21,15,9,1,0,0,0.71,0.71,15,0.6129,0.2857,52.15755
"C22 H19 O8 N1",424.1042691,"N1 O8","CHON","Lignin",22,19,8,1,0,0,0.86,0.86,14,0.5294,0,60.3
"C15 H23 O13 N1",424.1101383,"N1 O13","CHON","Carbohydrate",15,23,13,1,0,0,1.53,1.53,5,-0.3333,0.4,48.9
"C20 H10 O11",425.0154997,"O11","CHO","Cond Hydrocarbon",20,10,11,0,0,0,0.5,0.5,16,0.7241,0.6,43.2
"C17 H14 O11 S1",425.0188129,"S1 O11","CHOS","Lignin",17,14,11,0,1,0,0.82,0.82,11,0.4286,0.5882,43.5363
"C17 H14 O13",425.0365958,"O13","CHO","Tannin",17,14,13,0,0,0,0.82,0.82,11,0.4286,0.7059,40.18185
"C21 H14 O10",425.0518487,"O10","CHO","Cond Hydrocarbon",21,14,10,0,0,0,0.67,0.67,15,0.625,0.2857,52.15755
"C18 H18 O10 S1",425.0552459,"S1 O10","CHOS","Lignin",18,18,10,0,1,0,1,1,10,0.3333,0.2222,53.9673
"C17 H18 O11 N2",425.0842418,"N2 O11","CHON","Lignin",17,18,11,2,0,0,1.06,1.06,10,0.2632,0.5882,43.5363
"C20 H13 O10 N1",426.0470768,"N1 O10","CHON","Cond Hydrocarbon",20,13,10,1,0,0,0.65,0.65,15,0.6429,0.5,46.05
"C17 H17 O12 N1",426.0682275,"N1 O12","CHON","Tannin",17,17,12,1,0,0,1,1,10,0.3,0.5882,43.5363
"C21 H17 O9 N1",426.0834831,"N1 O9","CHON","Cond Hydrocarbon",21,17,9,1,0,0,0.81,0.81,14,0.5484,0.1905,54.87075
"C22 H21 O8 N1",426.1198735,"N1 O8","CHON","Lignin",22,21,8,1,0,0,0.95,0.95,13,0.4706,-0.0909,62.89065
"C24 H12 O6 S1",427.028708,"S1 O6","CHOS","Cond Hydrocarbon",24,12,6,0,1,0,0.5,0.5,19,0.75,0.0833,57.92595
"C13 H17 O14 P1",427.028708,"P1 O14","CHOP","Other",13,17,14,0,0,1,1.31,1.31,6,-0.4,0.8462,36.1833
"C20 H12 O11",427.0310987,"O11","CHO","Cond Hydrocarbon",20,12,11,0,0,0,0.6,0.6,15,0.6552,0.5,46.05
"C17 H16 O11 S1",427.0344586,"S1 O11","CHOS","Lignin",17,16,11,0,1,0,0.94,0.94,10,0.3333,0.4706,46.8879
"C17 H16 O13",427.0522281,"O13","CHO","Tannin",17,16,13,0,0,0,0.94,0.94,10,0.3333,0.5882,43.5363
"C18 H20 O10 S1",427.0708989,"S1 O10","CHOS","Lignin",18,20,10,0,1,0,1.11,1.11,9,0.25,0.1111,57.13365
"C17 H20 O11 N2",427.0998813,"N2 O11","CHON","Lignin",17,20,11,2,0,0,1.18,1.18,9,0.1579,0.4706,46.8879
"C15 H25 O12 P1",427.1016988,"P1 O12","CHOP","Carbohydrate",15,25,12,0,0,1,1.67,1.67,4,-0.375,-0.0667,62.20095
"C16 H29 O11 P1",427.1381051,"P1 O11","CHOP","Carbohydrate",16,29,11,0,0,1,1.81,1.81,3,-0.3684,-0.4375,72.76875
"C20 H28 O8 S1",427.1437079,"S1 O8","CHOS","Lignin",20,28,8,0,1,0,1.4,1.4,7,0.1333,-0.5,74.55
"C22 H37 O6 P1",427.2261113,"P1 O6","CHOP","Lipid",22,37,6,0,0,1,1.68,1.68,5,0.0556,-1.1364,92.6874
"C24 H16 O1 N1 P1 S2",428.0344486,"N1 S2 P1 O1","CHO","Other",24,16,1,1,2,1,0.67,0.67,18,0.6923,-0.2917,68.61345
"C21 H20 O3 N1 P1 S2",428.0555818,"N1 S2 P1 O3","CHO","Unsat Hydrocarbon",21,20,3,1,2,1,0.95,0.95,13,0.4839,-0.3333,69.79905
"C20 H15 O10 N1",428.0627522,"N1 O10","CHON","Cond Hydrocarbon",20,15,10,1,0,0,0.75,0.75,14,0.5714,0.4,48.9
"C21 H19 O9 N1",428.0991542,"N1 O9","CHON","Lignin",21,19,9,1,0,0,0.9,0.9,13,0.4839,0.0952,57.5868
"C22 H23 O8 N1",428.1355584,"N1 O8","CHON","Lignin",22,23,8,1,0,0,1.05,1.05,12,0.4118,-0.1818,65.4813
"C19 H10 O12",429.0103989,"O12","CHO","Cond Hydrocarbon",19,10,12,0,0,0,0.53,0.53,15,0.6923,0.7368,39.3012
"C16 H14 O12 S1",429.0137521,"S1 O12","CHOS","Tannin",16,14,12,0,1,0,0.88,0.88,10,0.3333,0.75,38.925
"C16 H14 O14",429.0315161,"O14","CHO","Tannin",16,14,14,0,0,0,0.88,0.88,10,0.3333,0.875,35.3625
"C24 H14 O6 S1",429.044396,"S1 O6","CHOS","Cond Hydrocarbon",24,14,6,0,1,0,0.58,0.58,18,0.7,0,60.3
"C13 H19 O14 P1",429.044396,"P1 O14","CHOP","Other",13,19,14,0,0,1,1.46,1.46,5,-0.6,0.6923,40.56945
"C20 H14 O11",429.0467606,"O11","CHO","Cond Hydrocarbon",20,14,11,0,0,0,0.7,0.7,14,0.5862,0.4,48.9
"C17 H18 O11 S1",429.0501341,"S1 O11","CHOS","Lignin",17,18,11,0,1,0,1.06,1.06,9,0.2381,0.3529,50.24235
"C21 H19 O8 P1",429.0750535,"P1 O8","CHOP","Lignin",21,19,8,0,0,1,0.9,0.9,13,0.5,-0.1429,64.37265
"C25 H18 O5 S1",429.0807692,"S1 O5","CHOS","Cond Hydrocarbon",25,18,5,0,1,0,0.72,0.72,17,0.6279,-0.24,67.14
"C14 H23 O13 P1",429.0807692,"P1 O13","CHOP","Carbohydrate",14,23,13,0,0,1,1.64,1.64,4,-0.5385,0.2143,54.19245
"C18 H22 O10 S1",429.0865184,"S1 O10","CHOS","Lignin",18,22,10,0,1,0,1.22,1.22,8,0.1667,0,60.3
"C19 H26 O9 S1",429.1229326,"S1 O9","CHOS","Lignin",19,26,9,0,1,0,1.37,1.37,7,0.1111,-0.3158,69.3003
"C20 H30 O8 S1",429.1593212,"S1 O8","CHOS","Protein",20,30,8,0,1,0,1.5,1.5,6,0.0667,-0.6,77.4
"C19 H13 O11 N1",430.0420319,"N1 O11","CHON","Cond Hydrocarbon",19,13,11,1,0,0,0.68,0.68,14,0.6,0.6316,42.2994
"C26 H25 O5 N1",430.1663949,"N1 O5","CHON","Other",26,25,5,1,0,0,0.96,0.96,15,0.5111,-0.4615,73.45275
"C23 H12 O7 S1",431.0236569,"S1 O7","CHOS","Cond Hydrocarbon",23,12,7,0,1,0,0.52,0.52,18,0.7297,0.1739,55.34385
"C19 H12 O12",431.026029,"O12","CHO","Cond Hydrocarbon",19,12,12,0,0,0,0.63,0.63,14,0.6154,0.6316,42.2994
"C16 H16 O12 S1",431.0292927,"S1 O12","CHOS","Tannin",16,16,12,0,1,0,1,1,9,0.2222,0.625,42.4875
"C16 H17 O12 P1",431.0390829,"P1 O12","CHOP","Tannin",16,17,12,0,0,1,1.06,1.06,9,0.2222,0.4375,47.83125
"C16 H16 O14",431.0471546,"O14","CHO","Tannin",16,16,14,0,0,0,1,1,9,0.2222,0.75,38.925
"C24 H16 O6 S1",431.0600202,"S1 O6","CHOS","Cond Hydrocarbon",24,16,6,0,1,0,0.67,0.67,17,0.65,-0.0833,62.67405
"C13 H21 O14 P1",431.0600202,"P1 O14","CHOP","Other",13,21,14,0,0,1,1.62,1.62,4,-0.8,0.5385,44.95275
"C17 H20 O11 S1",431.0657627,"S1 O11","CHOS","Lignin",17,20,11,0,1,0,1.18,1.18,8,0.1429,0.2353,53.59395
"C17 H20 O13",431.083525,"O13","CHO","Tannin",17,20,13,0,0,0,1.18,1.18,8,0.1429,0.3529,50.24235
"C25 H20 O5 S1",431.0964033,"S1 O5","CHOS","Cond Hydrocarbon",25,20,5,0,1,0,0.8,0.8,16,0.5814,-0.32,69.42
"C14 H25 O13 P1",431.0964033,"P1 O13","CHOP","Carbohydrate",14,25,13,0,0,1,1.79,1.79,3,-0.6923,0.0714,58.2651
"C18 H24 O10 S1",431.1021672,"S1 O10","CHOS","Lignin",18,24,10,0,1,0,1.33,1.33,7,0.0833,-0.1111,63.46635
"C20 H20 O9 N2",431.1100379,"N2 O9","CHON","Lignin",20,20,9,2,0,0,1,1,12,0.4074,0.2,54.6
"C19 H28 O9 S1",431.1385679,"S1 O9","CHOS","Protein",19,28,9,0,1,0,1.47,1.47,6,0.037,-0.4211,72.30135
"C20 H32 O8 S1",431.1749834,"S1 O8","CHOS","Protein",20,32,8,0,1,0,1.6,1.6,5,0,-0.7,80.25
"C23 H16 O2 N1 P1 S2",432.0293681,"N1 S2 P1 O2","CHO","Other",23,16,2,1,2,1,0.7,0.7,17,0.6667,-0.2174,66.4959
"C19 H15 O11 N1",432.0576748,"N1 O11","CHON","Cond Hydrocarbon",19,15,11,1,0,0,0.79,0.79,13,0.52,0.5263,45.30045
"C24 H20 O1 N1 P1 S2",432.065758,"N1 S2 P1 O1","CHO","Other",24,20,1,1,2,1,0.83,0.83,16,0.5897,-0.4583,73.36155
"C21 H24 O3 N1 P1 S2",432.0868782,"N1 S2 P1 O3","CHO","Unsat Hydrocarbon",21,24,3,1,2,1,1.14,1.14,11,0.3548,-0.5238,75.2283
"C22 H28 O2 N1 P1 S2",432.1232683,"N1 S2 P1 O2","CHO","Unsat Hydrocarbon",22,28,2,1,2,1,1.27,1.27,10,0.2941,-0.7727,82.32195
"C23 H32 O1 N1 P1 S2",432.1596482,"N1 S2 P1 O1","CHO","Other",23,32,1,1,2,1,1.39,1.39,9,0.2432,-1,88.8
"C18 H10 O13",433.0052929,"O13","CHO","Other",18,10,13,0,0,0,0.56,0.56,14,0.6522,0.8889,34.96635
"C19 H14 O10 S1",433.0239657,"S1 O10","CHOS","Cond Hydrocarbon",19,14,10,0,1,0,0.74,0.74,13,0.5385,0.4211,48.29865
"C23 H14 O7 S1",433.0393071,"S1 O7","CHOS","Cond Hydrocarbon",23,14,7,0,1,0,0.61,0.61,17,0.6757,0.087,57.8205
"C19 H14 O12",433.041672,"O12","CHO","Cond Hydrocarbon",19,14,12,0,0,0,0.74,0.74,13,0.5385,0.5263,45.30045
"C23 H14 O9",433.0569166,"O9","CHO","Cond Hydrocarbon",23,14,9,0,0,0,0.61,0.61,17,0.6757,0.1739,55.34385
"C20 H18 O9 S1",433.0604704,"S1 O9","CHOS","Lignin",20,18,9,0,1,0,0.9,0.9,12,0.4483,0.1,57.45
"C16 H18 O14",433.0628018,"O14","CHO","Tannin",16,18,14,0,0,0,1.12,1.12,8,0.1111,0.625,42.4875
"C20 H19 O9 P1",433.0699873,"P1 O9","CHOP","Lignin",20,19,9,0,0,1,0.95,0.95,12,0.4483,-0.05,61.725
"C24 H18 O6 S1",433.0756963,"S1 O6","CHOS","Cond Hydrocarbon",24,18,6,0,1,0,0.75,0.75,16,0.6,-0.1667,65.05095
"C13 H23 O14 P1",433.0756963,"P1 O14","CHOP","Other",13,23,14,0,0,1,1.77,1.77,3,-1,0.3846,49.3389
"C17 H22 O11 S1",433.0813807,"S1 O11","CHOS","Lignin",17,22,11,0,1,0,1.29,1.29,7,0.0476,0.1176,56.9484
"C19 H18 O10 N2",433.0893178,"N2 O10","CHON","Lignin",19,18,10,2,0,0,0.95,0.95,12,0.4167,0.4211,48.29865
"C21 H22 O8 S1",433.0968121,"S1 O8","CHOS","Lignin",21,22,8,0,1,0,1.05,1.05,11,0.375,-0.1905,65.72925
"C17 H22 O13",433.0991793,"O13","CHO","Tannin",17,22,13,0,0,0,1.29,1.29,7,0.0476,0.2353,53.59395
"C21 H23 O8 P1",433.1064129,"P1 O8","CHOP","Lignin",21,23,8,0,0,1,1.1,1.1,11,0.375,-0.3333,69.79905
"C25 H22 O5 S1",433.1120465,"S1 O5","CHOS","Other",25,22,5,0,1,0,0.88,0.88,15,0.5349,-0.4,71.7
"C14 H27 O13 P1",433.1120465,"P1 O13","CHOP","Carbohydrate",14,27,13,0,0,1,1.93,1.93,2,-0.8462,-0.0714,62.3349
"C18 H26 O10 S1",433.1178194,"S1 O10","CHOS","Lignin",18,26,10,0,1,0,1.44,1.44,6,0,-0.2222,66.6327
"C20 H22 O9 N2",433.1257004,"N2 O9","CHON","Lignin",20,22,9,2,0,0,1.1,1.1,11,0.3333,0.1,57.45
"C15 H31 O12 P1",433.1486443,"P1 O12","CHOP","Carbohydrate",15,31,12,0,0,1,2.07,2.07,1,-0.75,-0.4667,73.60095
"C19 H30 O9 S1",433.1542318,"S1 O9","CHOS","Protein",19,30,9,0,1,0,1.58,1.58,5,-0.037,-0.5263,75.29955
"C23 H31 O6 P1",433.1791375,"P1 O6","CHOP","Other",23,31,6,0,0,1,1.35,1.35,9,0.2632,-0.8261,83.84385
"C23 H18 O2 N1 P1 S2",434.0450249,"N1 S2 P1 O2","CHO","Unsat Hydrocarbon",23,18,2,1,2,1,0.78,0.78,16,0.6111,-0.3043,68.97255
"C19 H17 O11 N1",434.073311,"N1 O11","CHON","Lignin",19,17,11,1,0,0,0.89,0.89,12,0.44,0.4211,48.29865
"C24 H22 O1 N1 P1 S2",434.0814079,"N1 S2 P1 O1","CHO","Other",24,22,1,1,2,1,0.92,0.92,15,0.5385,-0.5417,75.73845
"C18 H12 O11 S1",435.0032072,"S1 O11","CHOS","Cond Hydrocarbon",18,12,11,0,1,0,0.67,0.67,13,0.5652,0.6667,41.29905
"C18 H12 O13",435.0209389,"O13","CHO","Other",18,12,13,0,0,0,0.67,0.67,13,0.5652,0.7778,38.1327
"C22 H12 O10",435.0362196,"O10","CHO","Cond Hydrocarbon",22,12,10,0,0,0,0.55,0.55,17,0.7059,0.3636,49.9374
"C19 H16 O10 S1",435.0396136,"S1 O10","CHOS","Lignin",19,16,10,0,1,0,0.84,0.84,12,0.4615,0.3158,51.2997
"C23 H16 O7 S1",435.0549277,"S1 O7","CHOS","Cond Hydrocarbon",23,16,7,0,1,0,0.7,0.7,16,0.6216,0,60.3
"C18 H16 O11 N2",435.0685634,"N2 O11","CHON","Lignin",18,16,11,2,0,0,0.89,0.89,12,0.4286,0.6667,41.29905
"C23 H16 O9",435.0726037,"O9","CHO","Cond Hydrocarbon",23,16,9,0,0,0,0.7,0.7,16,0.6216,0.087,57.8205
"C20 H20 O9 S1",435.0760737,"S1 O9","CHOS","Lignin",20,20,9,0,1,0,1,1,11,0.3793,0,60.3
"C17 H24 O11 S1",435.0970482,"S1 O11","CHOS","Lignin",17,24,11,0,1,0,1.41,1.41,6,-0.0476,0,60.3
"C19 H20 O10 N2",435.1049661,"N2 O10","CHON","Lignin",19,20,10,2,0,0,1.05,1.05,11,0.3333,0.3158,51.2997
"C24 H20 O8",435.1089186,"O8","CHO","Lignin",24,20,8,0,0,0,0.83,0.83,15,0.55,-0.1667,65.05095
"C21 H24 O8 S1",435.112446,"S1 O8","CHOS","Lignin",21,24,8,0,1,0,1.14,1.14,10,0.3125,-0.2857,68.44245
"C18 H28 O10 S1",435.1334718,"S1 O10","CHOS","Amino Sugar",18,28,10,0,1,0,1.56,1.56,5,-0.0833,-0.3333,69.79905
"C18 H28 O12",435.1512491,"O12","CHO","Amino Sugar",18,28,12,0,0,0,1.56,1.56,5,-0.0833,-0.2222,66.6327
"C18 H15 O12 N1",436.0525878,"N1 O12","CHON","Tannin",18,15,12,1,0,0,0.83,0.83,12,0.4545,0.6667,41.29905
"C23 H20 O2 N1 P1 S2",436.0606778,"N1 S2 P1 O2","CHO","Unsat Hydrocarbon",23,20,2,1,2,1,0.87,0.87,15,0.5556,-0.3913,71.45205
"C24 H24 O1 N1 P1 S2",436.0970657,"N1 S2 P1 O1","CHO","Other",24,24,1,1,2,1,1,1,14,0.4872,-0.625,78.1125
"C21 H10 O11",437.0154633,"O11","CHO","Cond Hydrocarbon",21,10,11,0,0,0,0.48,0.48,17,0.7419,0.5714,44.0151
"C18 H14 O11 S1",437.0188303,"S1 O11","CHOS","Cond Hydrocarbon",18,14,11,0,1,0,0.78,0.78,12,0.4783,0.5556,44.4654
"C18 H14 O13",437.0365827,"O13","CHO","Tannin",18,14,13,0,0,0,0.78,0.78,12,0.4783,0.6667,41.29905
"C22 H14 O10",437.0518441,"O10","CHO","Cond Hydrocarbon",22,14,10,0,0,0,0.64,0.64,16,0.6471,0.2727,52.52805
"C19 H18 O10 S1",437.0552471,"S1 O10","CHOS","Lignin",19,18,10,0,1,0,0.95,0.95,11,0.3846,0.2105,54.30075
"C23 H19 O5 P1 S1",437.0624436,"S1 P1 O5","CHO","Other",23,19,5,0,1,1,0.83,0.83,15,0.5676,-0.3043,68.97255
"C16 H22 O12 S1",437.0763473,"S1 O12","CHOS","Other",16,22,12,0,1,0,1.38,1.38,6,-0.1111,0.25,53.175
"C18 H18 O11 N2",437.0842433,"N2 O11","CHON","Lignin",18,18,11,2,0,0,1,1,11,0.3333,0.5556,44.4654
"C20 H22 O9 S1",437.0916506,"S1 O9","CHOS","Lignin",20,22,9,0,1,0,1.1,1.1,10,0.3103,-0.1,63.15
"C17 H26 O11 S1",437.1127083,"S1 O11","CHOS","Amino Sugar",17,26,11,0,1,0,1.53,1.53,5,-0.1429,-0.1176,63.6516
"C21 H26 O8 S1",437.1281317,"S1 O8","CHOS","Lignin",21,26,8,0,1,0,1.24,1.24,9,0.25,-0.381,71.1585
"C25 H26 O7",437.1610026,"O7","CHO","Lignin",25,26,7,0,0,0,1.04,1.04,13,0.4419,-0.48,73.98
"C18 H30 O12",437.1669067,"O12","CHO","Amino Sugar",18,30,12,0,0,0,1.67,1.67,4,-0.1667,-0.3333,69.79905
"C23 H35 O6 P1",437.2104516,"P1 O6","CHOP","Other",23,35,6,0,0,1,1.52,1.52,7,0.1579,-1,88.8
"C21 H42 O7 S1",437.2582888,"S1 O7","CHOS","Protein",21,42,7,0,1,0,2,2,1,-0.2121,-1.2381,95.58585
"C22 H18 O3 N1 P1 S2",438.0399255,"N1 S2 P1 O3","CHO","Unsat Hydrocarbon",22,18,3,1,2,1,0.82,0.82,15,0.5758,-0.2273,66.77805
"C12 H26 O10 N1 P1 S2",438.0666673,"N1 S2 P1 O10","CHO","Other",12,26,10,1,2,1,2.17,2.17,1,-2.6667,0.0833,57.92595
"C18 H17 O12 N1",438.0682414,"N1 O12","CHON","Tannin",18,17,12,1,0,0,0.94,0.94,11,0.3636,0.5556,44.4654
"C22 H17 O9 N1",438.0835284,"N1 O9","CHON","Cond Hydrocarbon",22,17,9,1,0,0,0.77,0.77,15,0.5758,0.1818,55.1187
"C22 H33 O8 N1",438.2137948,"N1 O8","CHON","Protein",22,33,8,1,0,0,1.5,1.5,7,0.1176,-0.6364,78.4374
"C17 H12 O14",439.0158586,"O14","CHO","Tannin",17,12,14,0,0,0,0.71,0.71,12,0.5,0.9412,33.4758
"C21 H12 O11",439.0311052,"O11","CHO","Cond Hydrocarbon",21,12,11,0,0,0,0.57,0.57,16,0.6774,0.4762,46.7283
"C18 H16 O11 S1",439.0344713,"S1 O11","CHOS","Lignin",18,16,11,0,1,0,0.89,0.89,11,0.3913,0.4444,47.6346
"C22 H17 O6 P1 S1",439.0417083,"S1 P1 O6","CHO","Cond Hydrocarbon",22,17,6,0,1,1,0.77,0.77,15,0.5882,-0.1364,64.1874
"C18 H17 O11 P1",439.044169,"P1 O11","CHOP","Lignin",18,17,11,0,0,1,0.94,0.94,11,0.3913,0.2778,52.3827
"C22 H16 O10",439.0674987,"O10","CHO","Cond Hydrocarbon",22,16,10,0,0,0,0.73,0.73,15,0.5882,0.1818,55.1187
"C19 H20 O10 S1",439.0708832,"S1 O10","CHOS","Lignin",19,20,10,0,1,0,1.05,1.05,10,0.3077,0.1053,57.29895
"C18 H20 O11 N2",439.0998932,"N2 O11","CHON","Lignin",18,20,11,2,0,0,1.11,1.11,10,0.2381,0.4444,47.6346
"C20 H24 O9 S1",439.1072941,"S1 O9","CHOS","Lignin",20,24,9,0,1,0,1.2,1.2,9,0.2414,-0.2,66
"C19 H24 O10 N2",439.1362941,"N2 O10","CHON","Lignin",19,24,10,2,0,0,1.26,1.26,9,0.1667,0.1053,57.29895
"C21 H28 O8 S1",439.1437271,"S1 O8","CHOS","Lignin",21,28,8,0,1,0,1.33,1.33,8,0.1875,-0.4762,73.8717
"C25 H16 O1 N1 P1 S2",440.0344504,"N1 S2 P1 O1","CHO","Other",25,16,1,1,2,1,0.64,0.64,19,0.7073,-0.28,68.28
"C22 H20 O3 N1 P1 S2",440.055601,"N1 S2 P1 O3","CHO","Unsat Hydrocarbon",22,20,3,1,2,1,0.91,0.91,14,0.5152,-0.3182,69.3687
"C21 H15 O10 N1",440.0627298,"N1 O10","CHON","Cond Hydrocarbon",21,15,10,1,0,0,0.71,0.71,15,0.6,0.381,49.4415
"C23 H24 O2 N1 P1 S2",440.0919776,"N1 S2 P1 O2","CHO","Unsat Hydrocarbon",23,24,2,1,2,1,1.04,1.04,13,0.4444,-0.5652,76.4082
"C22 H19 O9 N1",440.0991351,"N1 O9","CHON","Lignin",22,19,9,1,0,0,0.86,0.86,14,0.5152,0.0909,57.70935
"C20 H10 O12",441.0104081,"O12","CHO","Cond Hydrocarbon",20,10,12,0,0,0,0.5,0.5,16,0.7143,0.7,40.35
"C17 H14 O12 S1",441.013738,"S1 O12","CHOS","Tannin",17,14,12,0,1,0,0.82,0.82,11,0.4,0.7059,40.18185
"C17 H14 O14",441.0315099,"O14","CHO","Tannin",17,14,14,0,0,0,0.82,0.82,11,0.4,0.8235,36.83025
"C25 H14 O6 S1",441.0443446,"S1 O6","CHOS","Cond Hydrocarbon",25,14,6,0,1,0,0.56,0.56,19,0.7143,0,60.3
"C14 H19 O14 P1",441.0443446,"P1 O14","CHOP","Other",14,19,14,0,0,1,1.36,1.36,6,-0.3333,0.6429,41.97735
"C21 H14 O11",441.0467601,"O11","CHO","Cond Hydrocarbon",21,14,11,0,0,0,0.67,0.67,15,0.6129,0.381,49.4415
"C18 H18 O11 S1",441.050126,"S1 O11","CHOS","Lignin",18,18,11,0,1,0,1,1,10,0.3043,0.3333,50.80095
"C22 H19 O6 P1 S1",441.0573517,"S1 P1 O6","CHO","Other",22,19,6,0,1,1,0.86,0.86,14,0.5294,-0.2273,66.77805
"C19 H22 O10 S1",441.0865256,"S1 O10","CHOS","Lignin",19,22,10,0,1,0,1.16,1.16,9,0.2308,0,60.3
"C23 H23 O5 P1 S1",441.0937456,"S1 P1 O5","CHO","Other",23,23,5,0,1,1,1,1,13,0.4595,-0.4783,73.93155
"C16 H27 O12 P1",441.1173397,"P1 O12","CHOP","Carbohydrate",16,27,12,0,0,1,1.69,1.69,4,-0.3333,-0.1875,65.64375
"C21 H30 O8 S1",441.1593397,"S1 O8","CHOS","Lignin",21,30,8,0,1,0,1.43,1.43,7,0.125,-0.5714,76.5849
"C26 H34 O6",441.2286888,"O6","CHO","Other",26,34,6,0,0,0,1.31,1.31,10,0.3043,-0.8462,84.4167
"C20 H13 O11 N1",442.0420423,"N1 O11","CHON","Cond Hydrocarbon",20,13,11,1,0,0,0.65,0.65,15,0.6296,0.6,43.2
"C17 H17 O13 N1",442.063136,"N1 O13","CHON","Tannin",17,17,13,1,0,0,1,1,10,0.2632,0.7059,40.18185
"C22 H22 O3 N1 P1 S2",442.0712469,"N1 S2 P1 O3","CHO","Unsat Hydrocarbon",22,22,3,1,2,1,1,1,13,0.4545,-0.4091,71.95935
"C21 H17 O10 N1",442.0784126,"N1 O10","CHON","Cond Hydrocarbon",21,17,10,1,0,0,0.81,0.81,14,0.5333,0.2857,52.15755
"C22 H21 O9 N1",442.1147963,"N1 O9","CHON","Lignin",22,21,9,1,0,0,0.95,0.95,13,0.4545,0,60.3
"C24 H12 O7 S1",443.0236496,"S1 O7","CHOS","Cond Hydrocarbon",24,12,7,0,1,0,0.5,0.5,19,0.7436,0.1667,55.54905
"C13 H17 O15 P1",443.0236496,"P1 O15","CHOP","Other",13,17,15,0,0,1,1.31,1.31,6,-0.5556,1,31.8
"C20 H12 O12",443.0260493,"O12","CHO","Cond Hydrocarbon",20,12,12,0,0,0,0.6,0.6,15,0.6429,0.6,43.2
"C17 H16 O12 S1",443.0293932,"S1 O12","CHOS","Tannin",17,16,12,0,1,0,0.94,0.94,10,0.3,0.5882,43.5363
"C17 H17 O12 P1",443.0391263,"P1 O12","CHOP","Tannin",17,17,12,0,0,1,1,1,10,0.3,0.4118,48.5637
"C17 H16 O14",443.0471676,"O14","CHO","Tannin",17,16,14,0,0,0,0.94,0.94,10,0.3,0.7059,40.18185
"C25 H16 O6 S1",443.0600272,"S1 O6","CHOS","Cond Hydrocarbon",25,16,6,0,1,0,0.64,0.64,18,0.6667,-0.08,62.58
"C14 H21 O14 P1",443.0600272,"P1 O14","CHOP","Carbohydrate",14,21,14,0,0,1,1.5,1.5,5,-0.5,0.5,46.05
"C18 H20 O11 S1",443.0657862,"S1 O11","CHOS","Lignin",18,20,11,0,1,0,1.11,1.11,9,0.2174,0.2222,53.9673
"C22 H21 O6 P1 S1",443.0729952,"S1 P1 O6","CHO","Other",22,21,6,0,1,1,0.95,0.95,13,0.4706,-0.3182,69.3687
"C19 H24 O10 S1",443.1021737,"S1 O10","CHOS","Lignin",19,24,10,0,1,0,1.26,1.26,8,0.1538,-0.1053,63.30105
"C20 H28 O9 S1",443.1385659,"S1 O9","CHOS","Lignin",20,28,9,0,1,0,1.4,1.4,7,0.1034,-0.4,71.7
